,texto_pedido,texto_resposta
93403,"Prezados, boa tarde.  Solicito, por gentileza, cópia do Processo MME n.º 48300.002123/2017.  Muito obrigada.","Em atenção à sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, informamos que o processo requerido (Processo nº 48300.002123/2017-83) cuida de empresas concessionárias de geração e transmissão de energia elétrica e que somente poderá ser concedido mediante instrumento de procuração das referidas empresas de energia elétrica. De acordo com o que dispõe o art. 9º da Lei nº 9.784, de 29 de janeiro de 1999, que regula o processo administrativo no âmbito da Administração Pública Federal, constituem interessados no processo administrativo:  Art. 9º São legitimados como interessados no processo administrativo: I - pessoas físicas ou jurídicas que o iniciem como titulares de direitos ou interesses individuais ou no exercício do direito de representação, II - aqueles que, sem terem iniciado o processo, têm direitos ou interesses que possam ser afetados pela decisão a ser adotada, III - as organizações e associações representativas, no tocante a direitos e interesses coletivos, IV - as pessoas ou as associações legalmente constituídas quanto a direitos ou interesses difusos.   Ressalta-se que o Decreto nº 7.724, de 16 de maio de 2012, que regulamenta a Lei nº 12.527, de 18 de novembro de 2011, dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º, no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição, conforme segue:  Art. 5º Sujeitam-se ao disposto neste Decreto os órgãos da administração direta, as autarquias, as fundações públicas, as empresas públicas, as sociedades de economia mista e as demais entidades controladas direta ou indiretamente pela União. (...) § 2º Não se sujeitam ao disposto neste Decreto as informações relativas à atividade empresarial de pessoas físicas ou jurídicas de direito privado obtidas pelo Banco Central do Brasil, pelas agências reguladoras ou por outros órgãos ou entidades no exercício de atividade de controle, regulação e supervisão da atividade econômica cuja divulgação possa representar vantagem competitiva a outros agentes econômicos.   Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011. Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
93940,"Bom dia, solicito cópia do processo e/ou informações sobre o pedido da Nova Garantia Física da PCH Salto Santo Antônio.","Em atenção a sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, informamos que segundo a Lei nº 9.784/1999, constituem interessados no processo administrativo:  Art. 9º São legitimados como interessados no processo administrativo: I - pessoas físicas ou jurídicas que o iniciem como titulares de direitos ou interesses individuais ou no exercício do direito de representação, II - aqueles que, sem terem iniciado o processo, têm direitos ou interesses que possam ser afetados pela decisão a ser adotada, III - as organizações e associações representativas, no tocante a direitos e interesses coletivos, IV - as pessoas ou as associações legalmente constituídas quanto a direitos ou interesses difusos.   Em complementação, citamos o Decreto nº 7.724/2012 que regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações. Art. 5º Sujeitam-se ao disposto neste Decreto os órgãos da administração direta, as autarquias, as fundações públicas, as empresas públicas, as sociedades de economia mista e as demais entidades controladas direta ou indiretamente pela União. § 2º Não se sujeitam ao disposto neste Decreto as informações relativas à atividade empresarial de pessoas físicas ou jurídicas de direito privado obtidas pelo Banco Central do Brasil, pelas agências reguladoras ou por outros órgãos ou entidades no exercício de atividade de controle, regulação e supervisão da atividade econômica cuja divulgação possa representar vantagem competitiva a outros agentes econômicos. Dessa forma, tendo em vista o § 2º do art. 5º do Decreto 7.724/2012, informamos que o Processo de Revisão de Garantia Física de Energia da PCH Salto Santo Antônio somente poderá ser disponibilizado ao interessado responsável pela empresa, se devidamente comprovado. Essa comprovação poderá ser realizada via procuração ou via ofício assinado pela autoridade competente no âmbito da empresa responsável pelo empreendimento. Assim, a fim de agilizar a cópia do processo, solicitamos que o pedido, via e-SIC, venha acompanhado da procuração ou do ofício em nome do solicitante. Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011.   Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
1408,"Prezados, solicito acesso ao Ofício nº 1-2020-SPG-MME e ao Anexo Nota Conjunta SEI nº 8-2019-STN-SE-CAP-S. Obrigado. ","Em atenção a sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, informamos que os documentos solicitados, por serem preparatórios para o mencionado certame, encontram-se com acesso restrito, com base no § 3º, do art. 7º, da Lei nº 12.527/2011 (documentos preparatórios para tomada de decisão) e no § 2º, do art. 5º, do Decreto 7.724/2012 (vantagem competitiva a outros agentes econômicos). Assim, neste momento, não é possível sua disponibilização. Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011. Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC) Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
1416,"Prezados,   Solicito, por gentileza, cópias dos processos de estabelecimento de indenização devido à reversão das usinas que estavam sob responsabilidade da CESP antes do leilão 2/2014 em regime de alocação de cotas de garantia física e potência.","Em atenção à sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, esclarecemos que as informações requeridas se referem a dados de empresa de geração de energia elétrica e somente poderão ser concedidas mediante instrumento de procuração da referida empresa. De acordo com o que dispõe o art. 9º da Lei nº 9.784, de 29 de janeiro de 1999, que regula o processo administrativo no âmbito da Administração Pública Federal, constituem interessados no processo administrativo:  Art. 9º São legitimados como interessados no processo administrativo: I - pessoas físicas ou jurídicas que o iniciem como titulares de direitos ou interesses individuais ou no exercício do direito de representação, II - aqueles que, sem terem iniciado o processo, têm direitos ou interesses que possam ser afetados pela decisão a ser adotada, III - as organizações e associações representativas, no tocante a direitos e interesses coletivos, IV - as pessoas ou as associações legalmente constituídas quanto a direitos ou interesses difusos.  Ressalta-se que o Decreto nº 7.724, de 16 de maio de 2012, o qual regulamenta a Lei nº 12.527, de 18 de novembro de 2011, dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º, no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição, conforme segue:  Art. 5º Sujeitam-se ao disposto neste Decreto os órgãos da administração direta, as autarquias, as fundações públicas, as empresas públicas, as sociedades de economia mista e as demais entidades controladas direta ou indiretamente pela União. (...) § 2º Não se sujeitam ao disposto neste Decreto as informações relativas à atividade empresarial de pessoas físicas ou jurídicas de direito privado obtidas pelo Banco Central do Brasil, pelas agências reguladoras ou por outros órgãos ou entidades no exercício de atividade de controle, regulação e supervisão da atividade econômica cuja divulgação possa representar vantagem competitiva a outros agentes econômicos.      Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011.   Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC) Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria "
4950,"Prezados, Solicito a minuta de decreto que chegou a ser elaborada pelo governo para subsidiar energia elétrica para templos religiosos e a íntegra do processo SEI sobre o caso.  Destaco que a medida foi publicamente rejeitada pelo próprio presidente da República no dia 15 de janeiro (https://politica.estadao.com.br/noticias/geral,bolsonaro-desiste-de-dar-desconto-na-conta-de-energia-de-igrejas,70003159805), desta forma, a divulgação de tal documento não incide no trecho da Lei de Acesso à Informação que nega acesso a documentos preparatórios sobre políticas em andamento ou ainda não divulgadas.  Ressalto que as informações solicitadas encontram amparo na Lei de Acesso à Informação. Caso algum destes documentos tenha sido posto sob sigilo, peço que esclareçam por qual razão, quando foi posto sob sigilo, o seu grau e a autoridade responsável por colocá-los sob sigilo, e também a data em que constarão no rol de informações desclassificadas. Caso a quantidade de documentos seja elevada, peço que informem a quantidade de documentos encontrados sobre o assunto.","Em atenção a sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, informamos que a minuta solicitada trata-se de documento preparatório, e o acesso ao seu conteúdo somente será assegurado a partir da edição do ato ou decisão, conforme o art. 7º, § 3º, da Lei 12.527/11:  o direito de acesso aos documentos ou às informações neles contidas utilizados como fundamento da tomada de decisão e do ato administrativo será assegurado com a edição do ato decisório respectivo.  Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011. Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC) Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
9075,"Gostaria de receber acesso ao processo 48610.206040/2019-20, remetido pela ANP ao MME pelo OFÍCIO Nº 3/2020/DIR II/ANP-RJ-e, para SEI MME para o login de clarissa.leaolima@gmail.com.  A requerente do presente acesso é procuradora da CBA, conforme pode se constatar pela procuração juntada ao processo 48610.206040/2019-20 em 09/04/2019 (e conforme documento anexo).","Em atenção a sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, informamos que, o processo nº 48610.206040/2019-20 encontram-se com restrição de acesso, considerando os preceitos da Lei 12.527/2011, art. 7º, § 3º:   o direito de acesso aos documentos ou às informações neles contidas utilizados como fundamento da tomada de decisão e do ato administrativo será assegurado com a edição do ato decisório respectivo . Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011. Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
10506,"Prezados, boa tarde. Em consonância com a Lei nº 12.527/2011 apresento pedido de obtenção de cópia integral do Processo sob a seguinte numeração n° 48000.000469/2014-89. O referido processo trata da reversão de bens de concessionária de serviço público ao término do período de concessão. Tal matéria é de interesse geral uma vez que diz respeito diretamente a como o Ministério de Minas e Energia efetua o cálculo realizado para reversão dos bens de uma concessão, tendo em vista que seriam bens públicos voltados para a prestação de serviço público de energia elétrica. Assim, a fim de alinhar a atuação dos particulares com as exigências do Ministério e considerando os procedimentos na Lei nº 12.527/2011:  II - divulgação de informações de interesse público, independentemente de solicitações  - art. 3º,  Art. 5o  É dever do Estado garantir o direito de acesso à informação, que será franqueada, mediante procedimentos objetivos e ágeis, de forma transparente, clara e em linguagem de fácil compreensão. ,  Art. 10.  Qualquer interessado poderá apresentar pedido de acesso a informações aos órgãos e entidades referidos no art. 1o desta Lei, por qualquer meio legítimo, devendo o pedido conter a identificação do requerente e a especificação da informação requerida. § 1° Para o acesso a informações de interesse público, a identificação do requerente não pode conter exigências que inviabilizem a solicitação. , resta comprovado o interesse público do assunto referente ao processo de cálculo da indenização para reversão dos bens de concessionária de geração de energia elétrica ao término de sua concessão, o que permite ao acesso à íntegra do Processo n° 48000.000469/2014-89. ","Em atenção a sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, informamos que o processo requerido cuida de concessionária de geração de energia elétrica e somente poderá ser concedido mediante instrumento de procuração da referida empresa. De acordo com o que dispõe o art. 9º da Lei nº 9.784, de 29 de janeiro de 1999, que regula o processo administrativo no âmbito da Administração Pública Federal, constituem interessados no processo administrativo:  Art. 9º São legitimados como interessados no processo administrativo: I - pessoas físicas ou jurídicas que o iniciem como titulares de direitos ou interesses individuais ou no exercício do direito de representação, II - aqueles que, sem terem iniciado o processo, têm direitos ou interesses que possam ser afetados pela decisão a ser adotada, III - as organizações e associações representativas, no tocante a direitos e interesses coletivos, IV - as pessoas ou as associações legalmente constituídas quanto a direitos ou interesses difusos.   Outrossim, ressalta-se que tal decisão fundamenta-se no Decreto nº 7.724, de 16 de maio de 2012, que regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º, no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição, assim se reporta:   Art. 5º Sujeitam-se ao disposto neste Decreto os órgãos da administração direta, as autarquias, as fundações públicas, as empresas públicas, as sociedades de economia mista e as demais entidades controladas direta ou indiretamente pela União. (...) § 2º Não se sujeitam ao disposto neste Decreto as informações relativas à atividade empresarial de pessoas físicas ou jurídicas de direito privado obtidas pelo Banco Central do Brasil, pelas agências reguladoras ou por outros órgãos ou entidades no exercício de atividade de controle, regulação e supervisão da atividade econômica cuja divulgação possa representar vantagem competitiva a outros agentes econômicos.   Por todo o exposto, e tendo em vista o que consta no § 2º do art. 5º do Decreto 7.724, de 2012, supratranscrito, informa-se que o conteúdo do presente processo só poderá ser disponibilizado ao solicitante que comprovar o seu interesse no assunto abordado. Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011. Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC) Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
11424,"Prezados,   Solicito cópia do processo nº 14021.104157/2020-21,  Fiz o registro dessa solicitação e foi gerado o nº 48700000610202002, ocorre que, equivocadamente meu pedido foi direcionado ao Ministério de Economia.  Informo que o pedido deve ser direcionado aos Departamento de Gás natural  e o Departamento de monitoramento do sistema elétrico, pois eles poderão me enviar cópia do documento ora requerido.  Obrigada, ","Em atenção a sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, informamos que o Processo solicitado não consta nos arquivos do MME. O código, entretanto, refere-se ao protocolo no Ministério da Economia, da Nota Técnica nº 1/2020/DGN/SPG e do Ofício nº 7/2020/SE-MME . Os documentos foram gerados em conjunto com o Ministério da Infraestrutura para subsidiar a Receita Federal na avaliação do enquadramento dos FSRUs no processo de alfandegamento. Considerando os preceitos da Lei 12.527/2011, art. 7º, § 3º, que trata da restrição de acesso a documentos preparatórios, e que a questão está em análise pela Receita Federal. Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011. Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
15070,"Prezados, boa noite!  Gostaria de solicitar cópia integral do Processo nº 48340.003788/2019-08, que resultou na emissão da Portaria 9, de 02 de outubro de 2019.  Obrigado!","Em atenção a sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, informamos que este Ministério não pode atender à demanda, pois o processo em questão é de acesso restrito por motivo de sigilo empresarial, conforme o art. 169 da Lei n&deg, 11.101, de 9 de fevereiro de 2005. Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011. Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC) Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
15310,"Prezados, Gostaria de ter acesso a toda a documentação que integra o Processo nº 48340.005534/2019-16 que resultou na edição da Portaria nº 31, de 7 de fevereiro de 2020. Atenciosamente, Rodrigo","Em atenção a sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, informamos que, segundo a Lei nº 9.784/1999, constituem interessados no processo administrativo:   Art. 9º São legitimados como interessados no processo administrativo:    I - pessoas físicas ou jurídicas que o iniciem como titulares de direitos ou interesses individuais ou no exercício do direito de representação,    II - aqueles que, sem terem iniciado o processo, têm direitos ou interesses que possam ser afetados pela decisão a ser adotada,    III - as organizações e associações representativas, no tocante a direitos e interesses coletivos,    IV - as pessoas ou as associações legalmente constituídas quanto a direitos ou interesses difusos.  Sendo assim, a cópia do Processo nº 48340.005534/2019-16, somente poderá ser disponibilizado a interessados responsáveis pelas empresas envolvidas, mediante a devida comprovação. Essa comprovação poderá ser realizada por meio de procuração ou ofício assinado pela autoridade competente no âmbito da empresa responsável pelo empreendimento. Dessa forma, como requisite à disponibilização da cópia do processo, faz-se necessário que o pedido, via e-SIC, venha acompanhado da procuração ou do ofício em nome do solicitante. Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011. Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
20795,"Prezados, gostaria de ter acesso ao documento 0667347, que consta do processo 48610.203880/2020-74, com data de registro do dia 11/3/2020. Grata. ","Em atenção à sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, esclarecemos que o documento solicitado contém informações sobre os assuntos que vão ser discutidos na 2ª Reunião Extraordinária do CNPE, que foi adiada sine die, e cujo teor será utilizado como fundamento de processo de tomada de decisão e de atos administrativos subsequentes. Dessa forma, o direito de acesso aos documentos ou às informações neles contidas, utilizados como fundamento da tomada de decisão e do ato administrativo será assegurado com a edição do ato decisório respectivo, assim, após a realização da referida Reunião Extraordinária e o encaminhamento dos atos decorrentes, o documento poderá ser disponibilizado. Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011. Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
25863,"Todos os pedidos de Acesso à Informação, Resumo do Pedido e parecer realizados entre 2018 e 2020. Incluir dado de solicitante caso não tenha pedido sigilo.","Em atenção ao seu pedido encaminhado para o Serviço de Informação ao Cidadão do MME, informamos, primeiramente, que, no período de 2018 até março de 2020, foram registrados, neste Ministério, 1.191 (mil cento e noventa e um) pedidos de acesso à informação. Dessa forma, tendo em vista a quantidade de pedidos registrados, esclarecemos a impossibilidade de atendimento da sua demanda, considerando a dificuldade em organizar as informações contidas em cada pedido, e a necessidade de uma análise minuciosa para cada documento, pois muitos contêm, inclusive, informações pessoais ou que se enquadram nas hipóteses legais de sigilo, acarretando trabalho adicional de análise para verificação e consolidação dos dados, e conforme inciso III, do art. 13, do Decreto nº 7.742/2012, pedidos dessa natureza não serão atendidos:  Art. 13. Não serão atendidos pedidos de acesso à informação: .... III - que exijam trabalhos adicionais de análise, interpretação ou consolidação de dados e informações, ou serviço de produção ou tratamento de dados que não seja de competência do órgão ou entidade . Entretanto, informamos que o e-Sic possui uma ferramenta de busca das respostas dadas aos pedidos de informação feitos a órgãos e entidades do Poder Executivo Federal. A pesquisa pode ser feita por palavra-chave ou por filtros específicos, e está disponível por meio do link  http://www.consultaesic.cgu.gov.br/busca/SitePages/principal.aspx  Esses dados estão disponíveis em formato aberto, no link http://www.consultaesic.cgu.gov.br/busca/_layouts/15/DownloadPedidos/DownloadDados.aspx, sendo possível fazer os cruzamentos, análises, pesquisas e estudos que desejar. Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011. Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
27072,"Prezados Senhores, Boa tarde!  Solicito, por gentileza, vista ao Processo nº 48340.002710/2019-68.  Desde já agradeço pela atenção.  At., João Batista Braga Filho Gerente de Meio Ambiente do Grupo Cymi","Em atenção à sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, informamos que encontra-se em curso, no âmbito do Processo 48340.002710/2019-68, a edição de documentos técnicos preparatórios necessários à instrução do Leilão de Transmissão de 2020. Cumpre esclarecer que, de acordo com a Lei nº 12.527, de 18 de novembro de 2011 (Lei de Acesso a Informação),  documento preparatório , nos termos do seu parágrafo 3º, art. 7º, é o documento elaborado para fundamentar uma tomada de decisão. Nesse aspecto, o Decreto nº 7.724/2012, que regulamenta a Lei nº 12.527/2011, considera: Art. 3o Para os efeitos deste Decreto, considera-se: XII - documento preparatório - documento formal utilizado como fundamento da tomada de decisão ou de ato administrativo, a exemplo de pareceres e notas técnicas. Art. 20. O acesso a documento preparatório ou informação nele contida, utilizados como fundamento de tomada de decisão ou de ato administrativo, será assegurado a partir da edição do ato ou decisão. O envio do processo solicitado, contendo documentos preparatórios, pode gerar falsas expectativas aos administrados uma vez que o conjunto documental atualmente contém informações ainda não definitivas ou incompletas. Diante do exposto, solicitamos que aguarde a conclusão de todas as etapas relacionadas ao Leilão de Transmissão de 2020, para que a solicitação de vista ao processo possa ser atendida. Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011. Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
28278,"Envio do voto da decisão da Portaria nº 112, de 6 de abril de 2020 para confirmação do período de aplicação da nova garantia física da UTE Itumbiara, revisada para 21,3 MWm.","Em atenção à sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, informamos que Segundo a Lei nº 9.784/1999, constituem interessados no processo administrativo:   Art. 9º São legitimados como interessados no processo administrativo:    I - pessoas físicas ou jurídicas que o iniciem como titulares de direitos ou interesses individuais ou no exercício do direito de representação,    II - aqueles que, sem terem iniciado o processo, têm direitos ou interesses que possam ser afetados pela decisão a ser adotada,    III - as organizações e associações representativas, no tocante a direitos e interesses coletivos,    IV - as pessoas ou as associações legalmente constituídas quanto a direitos ou interesses difusos.  Em complementação, citamos o Decreto nº 7.724/2012 que regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações. Art. 5º Sujeitam-se ao disposto neste Decreto os órgãos da administração direta, as autarquias, as fundações públicas, as empresas públicas, as sociedades de economia mista e as demais entidades controladas direta ou indiretamente pela União. § 2º Não se sujeitam ao disposto neste Decreto as informações relativas à atividade empresarial de pessoas físicas ou jurídicas de direito privado obtidas pelo Banco Central do Brasil, pelas agências reguladoras ou por outros órgãos ou entidades no exercício de atividade de controle, regulação e supervisão da atividade econômica cuja divulgação possa representar vantagem competitiva a outros agentes econômicos. Informo que o documento requerido contém informações que se enquadram nos mencionados dispositivos, referentes à UTE Itumbiara. Nos termos do § 2º do art. 5º do Decreto 7.724/2012, o processo solicitado somente poderá ser disponibilizado a interessados responsáveis pelas empresas envolvidas, mediante a devida comprovação. Essa comprovação poderá ser realizada por meio de procuração ou ofício assinado pela autoridade competente no âmbito da empresa responsável pelo empreendimento. Dessa forma, como requisito à disponibilização da cópia do processo, faz-se necessário que o pedido, via e-SIC, venha acompanhado da procuração ou do ofício em nome do solicitante Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011. Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
30182,"Solicitação dos Documentos dos Processos nº 48000.001063/2010-90 e 48000.001556/2014-53, referentes ao Cálculo da Garantia Física da PCH Paraíso. Obrigada.","Em atenção à sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, informamos que Segundo a Lei nº 9.784/1999, constituem interessados no processo administrativo:   Art. 9º São legitimados como interessados no processo administrativo:    I - pessoas físicas ou jurídicas que o iniciem como titulares de direitos ou interesses individuais ou no exercício do direito de representação,    II - aqueles que, sem terem iniciado o processo, têm direitos ou interesses que possam ser afetados pela decisão a ser adotada,    III - as organizações e associações representativas, no tocante a direitos e interesses coletivos,    IV - as pessoas ou as associações legalmente constituídas quanto a direitos ou interesses difusos.  Em complementação, citamos o Decreto nº 7.724/2012 que regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações. Art. 5º Sujeitam-se ao disposto neste Decreto os órgãos da administração direta, as autarquias, as fundações públicas, as empresas públicas, as sociedades de economia mista e as demais entidades controladas direta ou indiretamente pela União. § 2º Não se sujeitam ao disposto neste Decreto as informações relativas à atividade empresarial de pessoas físicas ou jurídicas de direito privado obtidas pelo Banco Central do Brasil, pelas agências reguladoras ou por outros órgãos ou entidades no exercício de atividade de controle, regulação e supervisão da atividade econômica cuja divulgação possa representar vantagem competitiva a outros agentes econômicos. Informamos, que os processo 48000.001556/2014-53 e 48000.001063/2010-90, contém informações que se enquadram nos mencionados dispositivos. Nos termos do § 2º do art. 5º do Decreto 7.724/2012, o processo solicitado somente poderá ser disponibilizado a interessados responsáveis pelas empresas envolvidas, mediante a devida comprovação. Essa comprovação poderá ser realizada por meio de procuração ou ofício assinado pela autoridade competente no âmbito da empresa responsável pelo empreendimento. Dessa forma, como requisite à disponibilização da cópia do processo, faz-se necessário que o pedido, via e-SIC, venha acompanhado da procuração ou do ofício em nome do solicitante Se necessitar de outras informações referentes ao assunto, por favor envie uma nova solicitação, ou ainda, se julgar conveniente, poderá apresentar recurso, no prazo de 10 dias, via e-SIC, em caso de negativa de acesso à informação, ou se não forem fornecidas as razões para a negativa do acesso, conforme dispõe o art. 15, da Lei 12.527/2011. Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
